"Work Section Number","Work Section","Work Item Number","Work Item"
40,"Transportation systems",4,"Testing and commissioning"
40,"Transportation systems",5,"Symbols or numbers"
40,"Transportation systems",6,"Operation and maintenance manuals"
40,"Transportation systems",7,"Drawing requirements"
40,"Transportation systems",8,"Other, type stated"
40,"Transportation systems",9,"Loose ancillaries"
40,"Transportation systems",10,"Post-practical completion requirements"
41,"Builder's work in connection with mechanical, electrical and transportation installations",1,"General builder's work"
41,"Builder's work in connection with mechanical, electrical and",2,"Marking position of holes, mortices, chases and the like"
41,"Builder's work in connection with mechanical, electrical and transportation installations",3,"Pipe and duct sleeves"
41,"Builder's work in connection with mechanical, electrical and transportation installations",4,"Bases, plinths, etc"
41,"Builder's work in connection with mechanical, electrical and transportation installations",5,"Duct covers and frames"
41,"Builder's work in connection with mechanical, electrical and transportation installations",6,"Supports for services"
41,"Builder's work in connection with mechanical, electrical and transportation installations",7,"Catenary cables. Work for services installations"
41,"Builder's work in connection with mechanical, electrical and transportation installations",8,"Cutting holes, mortices and chases"
41,"Builder's work in connection with mechanical, electrical and transportation installations",9,"Cutting mortices and sinkings in existing structure"
41,"Builder's work in connection with mechanical, electrical and transportation installations",10,"Cutting chases through existing structures"
41,"Builder's work in connection with mechanical, electrical and transportation installations",11,"Lifting and replacing access covers and duct covers"
41,"Builder's work in connection with mechanical, electrical and transportation installations",12,"Lifting and replacing floor boards"
41,"Builder's work in connection with mechanical, electrical and transportation installations",13,"Underground pipe ducts"
41,"Builder's work in connection with mechanical, electrical and transportation installations",14,"Items extra over underground pipe ducts"
41,"Builder's work in connection with mechanical, electrical and transportation installations",15,"Pipe duct fittings"
41,"Builder's work in connection with mechanical, electrical and transportation installations",16,Accessories
41,"Builder's work in connection with mechanical, electrical and transportation installations",17,Manholes
41,"Builder's work in connection with mechanical, electrical and transportation installations",18,"Access chambers"
41,"Builder's work in connection with mechanical, electrical and",19,"Valve chambers"
41,"Builder's work in connection with mechanical, electrical and transportation installations",20,"Inspection chambers"
41,"Builder's work in connection with mechanical, electrical and",21,"Surface boxes"
41,"Builder's work in connection with mechanical, electrical and",22,"Stopcock pits"
41,"Builder's work in connection with mechanical, electrical and transportation installations",23,"Extra over the excavation for:"
41,"Builder's work in connection with mechanical, electrical and transportation installations",24,"Marker posts"
41,"Builder's work in connection with mechanical, electrical and",25,"Marker plates"
41,"Builder's work in connection with mechanical, electrical and transportation installations",26,Connections
41,"Builder's work in connection with mechanical, electrical and transportation installations",27,"Testing and commissioning"
